image_filename,expected_output,category
img2.jpg,"1. razina: Postavi ružičasti blok. Postavi plavi blok. Postavi žuti blok.
2. razina: Postavi zeleni blok.
3. razina: Postavi ružičasti blok.",spajanje
img3.png,"1. razina: Postavi žuti blok.
2. razina: Postavi plavi blok.
3. razina: Postavi zeleni blok.",spajanje
img4.jpeg,"1. razina: Postavi smeđi blok. Postavi zeleni blok.
2. razina: Postavi plavi blok vodoravno.
3. razina: Postavi svijetloplavi blok okomito.",spajanje
img5.jpg,"1. razina: Postavi zeleni blok.
2. razina: Postavi ružičasti blok.
3. razina: Postavi plavi blok.",spajanje
img6.jpg,"1. razina: Postavi crveni blok. Postavi zeleni blok. Postavi tamnoplavi blok.
2. razina: Postavi svijetloplavi blok. Postavi žuti blok.
3. razina: Postavi ljubičasti blok.
4. razina: Postavi narančasti blok.",spajanje
img7.jpg,"1. razina: Postavi ružičasti blok. Postavi svijetloplavi blok. Postavi crveni blok. Postavi narančasti blok. Postavi žuti blok.
2. razina: Postavi zeleni blok. Postavi plavi blok. Postavi ljubičasti blok.
3. razina: Postavi narančasti blok. Postavi žuti blok.
4. razina: Postavi crveni blok.",spajanje
img9.jpg,"1. razina: Postavi crveni blok. Postavi zeleni blok.
2. razina: Postavi žuti blok.",spajanje
img11.jpg,"1. razina: Postavi žuti blok. Postavi crveni blok.
2. razina: Postavi zeleni blok.",spajanje
img14.jpg,"1. razina: Postavi plavi blok.
2. razina: Postavi žuti blok.
3. razina: Postavi zeleni blok.
4. razina: Postavi crveni blok.
5. razina: Postavi žuti blok.",spajanje
img19.png,"1. razina: Postavi crveni blok.
2. razina: Postavi žuti blok pomaknut ulijevo.
3. razina: Postavi crveni blok pomaknut ulijevo.
4. razina: postavi zeleni blok pomaknut udesno.",spajanje
img20.webp,"1. razina: Postavi ružičasti blok.
2. razina: Postavi plavi blok pomaknut udesno.
3. razina: Postavi narančasti blok.
4. razina: Postavi plavi blok. pomaknut ulijevo.
5. razina: Postavi zeleni blok pomaknut ulijevo.
6. razina: Postavi žuti blok.
7. razina: Postavi zeleni blok pomaknut udesno.",spajanje
img21.jpg,"1. razina: Postavi plavi blok.
2. razina: Postavi crveni blok. Postavi zeleni blok.
3.razina: Postavi žuti blok.
4. razina: Postavi crveni blok pomaknut ulijevo.
5. razina: Postavi žuti blok pomaknut ulijevo.
6. razina: Postavi plavi blok.
7. razina: Postavi zeleni blok.",spajanje
img22.webp,"1. razina: Postavi crveni blok. 
2. razina: Postavi zeleni blok pomaknut udesno.
3. razina: Postavi plavi blok pomaknut ulijevo.
4. razina: Postavi ljubičasti blok pomaknut udesno.
5. razina: Postavi žuti blok pomaknut ulijevo.",spajanje
img23.jpg,"1. razina: Postavi crveni blok. 
2. razina: Postavi žuti blok.
3. razina: Postavi plavi blok pomaknut udesno.
4. razina: Postavi zeleni blok pomaknut ulijevo.",spajanje
img27.jpg,"1. razina: Postavi žuti blok.
2. razina: Postavi zeleni blok pomaknut udesno.
3. razina: Postavi plavi blok pomaknut udesno.
4. razina: Postavi ljubičasti blok pomaknut udesno.
5. razina: Postavi crveni blok pomaknut udesno.",spajanje
img30.jpg,"",spajanje



